name,birthday,nationality
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,BRL
Sandra Bullock,1964-07-26,USA
Gisele Bündchen,1980-07-20,BRL
Denzel Washington,1954-12-28,USA
Camila Mendes,1994-06-29,BRL
Brad Pitt,1963-12-18,USA
Fernanda Montenegro,1929-10-16,BRL
Chris Evans,1981-06-13,USA
Gloria Pires,1963-08-23,BRL
Meryl Streep,1949-06-22,USA
Wagner Moura,1976-06-27,BRL
Robert Downey Jr.,1965-04-04,USA
Taís Araújo,1978-11-25,BRL
Matt Damon,1970-10-08,USA
Cauã Reymond,1980-05-20,BRL
Angelina Jolie,1975-06-04,USA
Rodrigo Santoro,1975-08-22,BRL
